plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20170901t201246-A,33.842039,-118.237465,2017-09-01T20:12:46+00,Electricity Generation (1A1),CH4,mf,"[-118.24161074521646, 33.83872773546338, -118.23356838318566, 33.845437213552096]",ang,2023-05-14 20:21:18.072548+00:00,,,,,52.0,29.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t201246-C,34.001603,-118.369336,2017-09-01T20:12:46+00,Oil & Gas (1B2),CH4,mf,"[-118.37267888710774, 33.9985843329885, -118.36455018068855, 34.0053231810136]",ang,2023-05-14 20:21:18.072599+00:00,,,,,78.0,29.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t202358-A,34.001603,-118.369336,2017-09-01T20:23:58+00,Oil & Gas (1B2),CH4,mf,"[-118.37305504879086, 33.99822352951297, -118.36499808973164, 34.004932613405686]",ang,2023-05-14 20:23:19.259997+00:00,,,,,84.0,16.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t202358-B,34.005452,-118.376334,2017-09-01T20:23:58+00,Oil & Gas (1B2),CH4,mf,"[-118.3803395857666, 34.0023385044735, -118.37228225941014, 34.009047569157545]",ang,2023-05-14 20:23:19.260380+00:00,,,,,,,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t202358-C,33.817154,-118.235458,2017-09-01T20:23:58+00,Electricity Generation (1A1),CH4,mf,"[-118.23942281690847, 33.813930107364335, -118.23138285541314, 33.82060984206868]",ang,2023-05-14 20:23:19.260067+00:00,,,,,84.0,26.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t202358-E,33.813762,-118.23602,2017-09-01T20:23:58+00,Electricity Generation (1A1),CH4,mf,"[-118.24033522522187, 33.810409152400716, -118.23225967388807, 33.81711873074882]",ang,2023-05-14 20:23:19.260127+00:00,,,,,144.0,45.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t203520-A,33.804214,-118.243943,2017-09-01T20:35:20+00,Electricity Generation (1A1),CH4,mf,"[-118.24778112509178, 33.80089437902533, -118.23974230381383, 33.807603871002904]",ang,2023-05-14 20:21:18.062999+00:00,,,,,67.0,37.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t203520-B,33.796755,-118.237435,2017-09-01T20:35:20+00,Oil & Gas (1B2),CH4,mf,"[-118.2415056868548, 33.79342783228719, -118.23346754505098, 33.80013734246762]",ang,2023-05-14 20:21:18.063053+00:00,,,,,66.0,30.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t204654-A,33.780818,-118.256448,2017-09-01T20:46:54+00,Oil & Gas (1B2),CH4,mf,"[-118.26027450969713, 33.777368295619404, -118.25213075226897, 33.78410746624124]",ang,2023-05-14 20:23:19.259706+00:00,,,,,49.0,27.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t205911-A,33.803642,-118.284674,2017-09-01T20:59:11+00,Waste Water (6B),CH4,mf,"[-118.28862278883757, 33.80057427251652, -118.2805840999788, 33.80728367907417]",ang,2023-05-14 20:23:24.218330+00:00,,,,,480.0,264.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
